src,tgt
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 나는 경영학을 전공을 하고 있어.
Output:",지시1 공부1 전문1 경제1 전문2
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 나도 너랑 같은 경영학을 전공하고 있어.
Output:",지시1 공부1 전문1 경제1 전문2 너나같다1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 나는 법학을 전공했고 복수 전공으론 사회복지학을 전공했어.
Output:",지시2 법1 전문1 선택1 사회1 복지2 등수:2등
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 경영학과도 힘들다고 들었는데 경영학 공부는 어떻게 해?
Output:",경제1 전문2 배우다1 힘들다1 듣다1 경제1 전문2 공부1 방법1 무엇1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 난 요즘 상법을 공부하고 있는데 한자가 너무 많고 그 단어가 너무 어렵게 구성이 되어 있었어.
Output:",지시1 요즘1 상법 공부1 중1 중국5 서류1 지시1# 많다1 단어1# 기록1# 어렵다1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 사회복지에 어떤 연유로 관심을 가지게 된 것이야?
Output:",사회1 복지2 관심1 원인1 무엇1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 나는 고등학교 때부터 뉴스 보는 걸 좋아했는데 뉴스 주제가 복지에 관한 것들이었어.
Output:",지시2 고등1 학생1 부터3 TV 이야기하다1 보다6 취미1 TV 이야기하다1 주제1 복지2 대부분2
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 내가 다시 수능을 본다면 공대로 들어가고 싶어.
Output:",만약2 지시1 대학3 가입1 목적1 경쟁1 되돌리다2 기계1 대학3 가입1 원하다1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 공대는 취업도 잘 되고 전망이 좋잖아?
Output:",기계1 대학3 일하다1 가입1 기름1 미래1 발전1 좋다1 맞다4
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 혹시 용접 해 봤니?
Output:",지시1# 용접1 한적있다2
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 항공과 관련된 직업을 단기적으로 일을 해 본 적은 있어.
Output:",비행기3 연결2 일하다1 언제1 짧다1 일하다1 한적있다2
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 조종사분들이 일하는 모습을 보면서 직업에 대한 감명을 약간 얻은 거 같아.
Output:",비행기3 운전1 일하다1 모습1 보다1 일하다1 무엇1 감동1 느끼다1 반응1 있다1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 나중에 학기 중에 축제할 때 가 보자.
Output:",며칠후2 학교1 다니다1 때1 행사1 기회1 가다7 보다10
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 우리 학교는 축제 때 놀이보다는 먹는 음식을 주로 많이 팔더라고.
Output:",지시2 학교1 행사1 때1 놀다1 ~보다1 먹다1 대부분2 팔다1 많다1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 내가 낸 학생회비가 어떻게 쓰이는지 궁금했어.
Output:",학생1 돈1# 지시1# 사용1 무엇2 궁금하다1 크다1 회원1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 너희는 학생회비 잘 내니?
Output:",지시1# 학생1 회원1 돈1# 정기적2
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 팔 수술을 해서 철심을 다 뺐어.
Output:",수술1 철1 육형1 육형1 팔4
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 주변 내 친구들은 다이어트 하는데 난 다이어트에 관심 없어.
Output:",가깝다1 지시1 친구1 고기1 날씬하다3 지시1 고기1 날씬하다3 관심1 없다1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 유산균을 먹으면 매일매일 똥을 잘 쌀 수 있어.
Output:",유산균 육형1 매일1 대변1 기름1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 나는 헬스장을 끊어 놓고 1달에 두 번씩 가.
Output:",지시1 운동2 회원1 가입1 날짜(활용):1개월 2 제한1 가다1
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 헬스장을 가면 몇 시간 동안 운동하니?
Output:",운동2 곳1 가다7 운동1 몇시간2
"Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 일상생활 | Thema: 일상생활 말뭉치
Input: 내가 옛날에는 웨이트 트레이닝을 위주로 했는데 요즘은 유산소 운동을 위주로 하고 있어.
Output:",지시1 과거1 운동2 운동1 집중1 요즘1 달리다5 집중1
