instruction,domain,thema,input_korean,output_ksl_gloss
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 신용카드의 총한도를 천만 원에서 2천만 원으로 높이고 싶어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 카드회사나 은행에 가면 신용카드를 바로 만들 수 있는 걸까?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
은행이나 카드사에 물어보면 신용카드 발급 조건을 알 수 있어.
Output:",믿다1 카드2 돈1 최고2 종합3 값오르다1 원하다1 20000000
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 직장에서 받는 월급보다 신용카드 사용금액이 크면 제게 문제가 생기나요?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 신용카드를 사용한 후 카드 대금을 납부하지 않으면 금융 거래에 문제가 발생해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
카드 대금 상환이 미뤄지면, 이자가 생겨서 빚을 지게 돼요.
Output:",일하다1 월급2 ~보다1 믿다1 카드2 사용1 많다7 문제1 있다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 신용점수는 대출을 신청하거나 집을 살 때, 신용카드를 발급받을 때 중요한 역할을 해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 신용카드를 사용하면 경제적인 어려움이 생길 수 있으므로 주의해야 해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
현금이 없어도 거래를 할 수 있기 때문에 소비에 중독될 수 있어요.
Output:",믿다1 카드2 만들다1 집1 사다1 빌리다2 신청1 원하다1 믿다1 점수1 중요1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 신용카드 정보가 유출되면 개인 정보 도용이나 불법 거래에 악용될 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 직장에서 받는 월급보다 신용카드 사용금액이 많으면 가족 관계에 문제가 생겨요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
신용카드를 연체 없이 똑똑하게 사용하는 방법에 대해 상담하고 싶어요.
Output:",믿다1 카드2 숫자1 이용1 개인1 정보1 훔치다2 자유1 카드2 위험1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 4월의 수입과 지출을 생각하고, 신용카드를 사용할 때마다 기록하고 관리하는 것이 좋아요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 스스로 정한 예산 안에서만 신용카드를 사용하면 카드 대금을 상환하기가 쉬워져요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
카드회사나 은행에 가면 신용카드를 바로 만들 수 있는 건가?
Output:",날짜:4월 벌다1 사용1 계획1 믿다1 카드2 기록2 습관1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 신용카드를 자신의 예산에 맞게 사용하면 오히려 돈을 아낄 수 있어.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 편의점이나 식당에서 신용카드를 사용하면 돈을 아낄 수 있는 장점이 있어.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
현금으로 결제하는 것과 신용카드로 결제하는 것 중 어느 게 더 안전할까?
Output:",지시2 가능1 얼마1 결정1 믿다1 카드2 돈1 아끼다1 가능1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 길에서 신용카드를 잃어버리게 되면 당황할 것 같은데 이때는 어떻게 해야 해?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 지갑이나 가방, 주머니를 찾아보고, 카드가 없는 건지 정확하게 확인해야 해.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
카드를 잃어버렸다면 은행이나 카드사에 빨리 분실 신고를 해야 해.
Output:",길1 믿다1 카드2 버리다1 걱정1 방법1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 분실신고를 할 때는 잃어버린 장소와 시간에 대해 자세히 알려줘야 해.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 다른 카드나 신분증도 잃어버렸다면 경찰에 신고하거나 재발급을 요청할 수 있어.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
카드 재발급을 신청했다면 새로운 카드를 받기까지 2주의 시간이 걸린다고 해.
Output:",버리다1 신고1 때1 버리다1 곳1# 시간2 꼼꼼1 알려주다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 신규 카드의 비밀번호는 잃어버린 카드와 다른 비밀번호를 사용하는 게 안전해.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 신용카드 종류가 여러가지인데, 제가 어떤 카드를 쓰는 게 좋을까요?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
자신에게 적합한 카드를 선택하려면 여러 신용카드에 대해 알아봐야 해요.
Output:",과거1 카드2 버리다1 새롭다1 카드2 비밀1 숫자1 바꾸다1 사용1 편안하다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 카드의 연회비와 금리, 포인트를 꼭 비교해서 신용카드를 선택하는 것이 좋아요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 백화점 카드, 여행 카드, 쇼핑 카드 등 종류가 여러가지인만큼 본인의 소비에 맞게 선택해야 해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
신용카드 발급받으면 제게 도움 되는 장점이 있는지 자세히 설명해 주세요.
Output:",믿다1 카드2 날짜(활용):1년 회원1 이익1 퍼센트5 점수1 비교1 약속1 확인2 선택1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 동전이나 지폐를 쓰지 않으면 거스름돈을 주고받는 번거로움이 없어서 편할 수 있습니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 현금이 없는데 급하게 식당에서 결제를 해야할 때 신용카드가 편합니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
신용카드를 쓰면 무이자 할부 서비스를 받을 수 있는 장점이 있습니다.
Output:",종이2 육형1 돈1 철1 돈1 빼다2 돈1 바꾸다6 수고1 힘들다2 필요없다1 간단하다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 신용카드 사용금액에 따라 포인트 적립이나 할인을 받을 수 있습니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 카드회사에서 제공하는 할인 행사가 있다면 물건을 싸게 살 수 있습니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
신용카드는 현금을 잃어버릴 위험이 없고, 잃어버렸을 땐 도난 신고를 할 수 있습니다.
Output:",믿다1 카드2# 카드2 점수1 저축2 할인1 가능1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 카드회사의 홈페이지나 애플리케이션을 통해 신용카드 사용금액을 알 수 있습니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 내가 돈을 사용한 내용을 간단히 확인할 수 있는 장점이 있습니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
카드회사의 애플리케이션에는 카드 사용 내용이나 포인트, 한도를 확인할 수 있습니다.
Output:",믿다1 카드2 회사1 홈페이지1 앱 방문2 돈1 얼마1 확인2 가능1 사용1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 외국에 여행을 갈 때도 신용카드를 사용하면 현금을 챙기지 않아도 됩니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 환전할 필요 없이 결제할 수 있어서 여행 중에도 쉽게 쓸 수 있습니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
통장에서 수도 요금, 전기요금, 휴대전화 요금이 자동으로 출금되게 설정할 수 있습니다.
Output:",다르다1 나라1 여행1 얼마1 현금1 가지다2 필요없다1 믿다1 카드2 가져가다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 현금 사용을 줄이고 신용카드 사용을 늘리면 현금 관리에 드는 시간과 노력을 줄일 수 있습니다.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 은행에서 예금 통장을 만들라고 하던데, 예금이 뭔지 자세히 설명해 주세요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
간단히 말하면, 한국은행같은 금융기관에 돈을 맡기는 것을 예금이라고 해요.
Output:",현금1 사용1 줄다1 믿다1 카드2 사용1 대부분2 은행1 카드2 시간2 사용1 수고1 줄다1
